budget_range,investorId,risk_preference,profileCompleted,category,preferred_stage,location,traction_preference,investor_id
100k-500k,I148,Medium,True,AI,"MVP,Early Traction,Growth",Saudi Arabia,Users,I148
2M-10M,I149,High,True,AgriTech,"MVP,Early Traction",Bangladesh,None,I149
10k-100k,I15,High,True,PropTech,"Growth,Scaling",UK,None,I15
50k-200k,I150,Medium,True,AI,Early Traction,USA,Users,I150
50k-200k,I151,High,True,AgriTech,Scaling,Nigeria,None,I151
100k-500k,I152,Medium,True,EdTech,"MVP,Early Traction",UAE,Users,I152
10k-100k,I153,Low,True,HealthTech,"Early Traction,Growth",Bangladesh,Revenue,I153
50k-200k,I154,High,True,PropTech,"Growth,Scaling",Saudi Arabia,None,I154
100k-500k,I155,High,True,FinTech,"Idea,MVP",Bangladesh,None,I155
500k-2M,I156,High,True,AI,"Early Traction,Growth",UAE,None,I156
10k-100k,I157,Medium,True,PropTech,Early Traction,Saudi Arabia,Users,I157
100k-500k,I158,Medium,True,HealthTech,"MVP,Early Traction,Growth",Bangladesh,Users,I158
100k-500k,I159,Medium,True,AgriTech,"Idea,MVP,Early Traction",Saudi Arabia,Users,I159
10k-100k,I16,Low,True,FinTech,"Growth,Scaling",Saudi Arabia,Revenue,I16
2M-10M,I160,High,True,LogisticsTech,"MVP,Early Traction",Bangladesh,None,I160
2M-10M,I161,High,True,AI,Early Traction,USA,None,I161
100k-500k,I162,High,True,PropTech,"MVP,Early Traction",UK,None,I162
10k-100k,I163,Medium,True,AgriTech,"MVP,Early Traction,Growth",USA,Users,I163
100k-500k,I164,Low,True,HealthTech,"Early Traction,Growth",UK,Revenue,I164
50k-200k,I165,High,True,LogisticsTech,"Growth,Scaling",Pakistan,None,I165
50k-200k,I166,High,True,EdTech,Idea,Pakistan,None,I166
100k-500k,I167,Medium,True,HealthTech,"Growth,Scaling",Bangladesh,Users,I167
2M-10M,I168,Low,True,AI,"MVP,Early Traction,Growth",Turkey,Revenue,I168
2M-10M,I169,High,True,FinTech,"MVP,Early Traction,Growth",Nigeria,None,I169
500k-2M,I17,High,True,SaaS,"Idea,MVP",Turkey,None,I17
100k-500k,I170,High,True,LogisticsTech,Scaling,UAE,None,I170
100k-500k,I171,Medium,True,E-commerce,"Early Traction,Growth",India,Users,I171
2M-10M,I172,High,True,HealthTech,"MVP,Early Traction,Growth",UAE,None,I172
50k-200k,I173,Low,True,SaaS,"Idea,MVP,Early Traction",USA,Revenue,I173
100k-500k,I174,Medium,True,CleanTech,Early Traction,USA,Users,I174
500k-2M,I175,Medium,True,HealthTech,"Idea,MVP",India,Users,I175
2M-10M,I176,Low,True,PropTech,Idea,Turkey,Revenue,I176
2M-10M,I177,High,True,FinTech,"Growth,Scaling",India,None,I177
100k-500k,I178,Low,True,LogisticsTech,"Early Traction,Growth",Bangladesh,Revenue,I178
50k-200k,I179,Medium,True,E-commerce,Early Traction,USA,Users,I179
50k-200k,I18,Low,True,HealthTech,"Early Traction,Growth",India,Revenue,I18
50k-200k,I180,High,True,AgriTech,"Early Traction,Growth",USA,None,I180
500k-2M,I181,High,True,SaaS,"Early Traction,Growth",USA,None,I181
10k-100k,I182,Medium,True,EdTech,"Idea,MVP,Early Traction",Pakistan,Users,I182
50k-200k,I183,Low,True,FinTech,Idea,Turkey,Revenue,I183
50k-200k,I184,Medium,True,SaaS,"Growth,Scaling",Turkey,Users,I184
500k-2M,I185,Medium,True,CleanTech,"Idea,MVP",Nigeria,Users,I185
2M-10M,I186,High,True,AI,"MVP,Early Traction,Growth",Saudi Arabia,None,I186
100k-500k,I187,Low,True,AI,"Idea,MVP",Egypt,Revenue,I187
50k-200k,I188,High,True,AI,"MVP,Early Traction,Growth",Saudi Arabia,None,I188
50k-200k,I189,Medium,True,HealthTech,Scaling,India,Users,I189
50k-200k,I19,Medium,True,AI,Scaling,Nigeria,Users,I19
100k-500k,I190,Low,True,PropTech,"Idea,MVP",UAE,Revenue,I190
100k-500k,I191,High,True,HealthTech,Scaling,Nigeria,None,I191
2M-10M,I192,Medium,True,PropTech,"Early Traction,Growth",USA,Users,I192
500k-2M,I193,Low,True,EdTech,"Early Traction,Growth",USA,Revenue,I193
10k-100k,I194,Low,True,CleanTech,"Early Traction,Growth",Saudi Arabia,Revenue,I194
10k-100k,I195,High,True,FinTech,"Early Traction,Growth",Turkey,None,I195
100k-500k,I196,Medium,True,SaaS,"Idea,MVP,Early Traction",Pakistan,Users,I196
2M-10M,I197,High,True,LogisticsTech,"Idea,MVP",Pakistan,None,I197
10k-100k,I198,High,True,SaaS,"MVP,Early Traction",Pakistan,None,I198
500k-2M,I199,Low,True,CleanTech,Scaling,Bangladesh,Revenue,I199
100k-500k,I2,High,True,PropTech,"Idea,MVP,Early Traction",Pakistan,None,I2
100k-500k,I20,Medium,True,LogisticsTech,"Early Traction,Growth",UAE,Users,I20
500k-2M,I200,Low,True,HealthTech,"Idea,MVP",UAE,Revenue,I200
500k-2M,I201,High,True,HealthTech,Scaling,India,None,I201
2M-10M,I202,High,True,HealthTech,"Early Traction,Growth",Turkey,None,I202
10k-100k,I203,High,True,CleanTech,Early Traction,Egypt,None,I203
100k-500k,I204,Low,True,SaaS,Idea,India,Revenue,I204
2M-10M,I205,Medium,True,FinTech,Scaling,Saudi Arabia,Users,I205
100k-500k,I206,Medium,True,FinTech,"Early Traction,Growth",Bangladesh,Users,I206
2M-10M,I207,Low,True,AI,Idea,Nigeria,Revenue,I207
50k-200k,I208,Low,True,EdTech,"MVP,Early Traction",Pakistan,Revenue,I208
2M-10M,I209,Low,True,SaaS,"MVP,Early Traction",Nigeria,Revenue,I209
10k-100k,I21,Medium,True,HealthTech,"Growth,Scaling",Pakistan,Users,I21
10k-100k,I210,Medium,True,LogisticsTech,"Growth,Scaling",India,Users,I210
100k-500k,I211,Medium,True,AgriTech,"Idea,MVP",UK,Users,I211
50k-200k,I212,Medium,True,SaaS,"MVP,Early Traction,Growth",Pakistan,Users,I212
500k-2M,I213,Low,True,EdTech,"Idea,MVP",India,Revenue,I213
50k-200k,I214,Medium,True,AI,"MVP,Early Traction,Growth",UAE,Users,I214
2M-10M,I215,High,True,AgriTech,"MVP,Early Traction",UK,None,I215
100k-500k,I216,Low,True,EdTech,"Growth,Scaling",UAE,Revenue,I216
500k-2M,I217,Medium,True,CleanTech,Idea,UK,Users,I217
50k-200k,I218,Low,True,CleanTech,"Idea,MVP",India,Revenue,I218
10k-100k,I219,High,True,E-commerce,Idea,Bangladesh,None,I219
2M-10M,I22,Medium,True,HealthTech,Early Traction,India,Users,I22
500k-2M,I220,High,True,PropTech,"Growth,Scaling",UAE,None,I220
2M-10M,I221,High,True,EdTech,"Early Traction,Growth",Pakistan,None,I221
500k-2M,I222,Medium,True,AgriTech,Idea,India,Users,I222
10k-100k,I223,High,True,AI,"MVP,Early Traction,Growth",UK,None,I223
2M-10M,I224,High,True,AI,Early Traction,Turkey,None,I224
100k-500k,I225,High,True,FinTech,Early Traction,Egypt,None,I225
500k-2M,I226,Medium,True,SaaS,"MVP,Early Traction,Growth",Saudi Arabia,Users,I226
50k-200k,I227,High,True,CleanTech,"Idea,MVP",Egypt,None,I227
50k-200k,I228,Medium,True,AI,Idea,Egypt,Users,I228
10k-100k,I229,Medium,True,E-commerce,"Growth,Scaling",Nigeria,Users,I229
500k-2M,I23,High,True,SaaS,"MVP,Early Traction,Growth",Nigeria,None,I23
100k-500k,I230,High,True,EdTech,"Growth,Scaling",Pakistan,None,I230
500k-2M,I231,Low,True,LogisticsTech,"MVP,Early Traction",Bangladesh,Revenue,I231
500k-2M,I232,Medium,True,AgriTech,"MVP,Early Traction",Turkey,Users,I232
500k-2M,I233,Low,True,AgriTech,Idea,USA,Revenue,I233
10k-100k,I234,Medium,True,AI,"Idea,MVP",Bangladesh,Users,I234
2M-10M,I235,Low,True,LogisticsTech,Early Traction,Pakistan,Revenue,I235
100k-500k,I236,High,True,PropTech,"Growth,Scaling",Egypt,None,I236
100k-500k,I237,Low,True,AgriTech,"Growth,Scaling",USA,Revenue,I237
100k-500k,I238,High,True,AgriTech,Early Traction,Egypt,None,I238
100k-500k,I239,Low,True,AgriTech,"MVP,Early Traction",Nigeria,Revenue,I239
500k-2M,I24,Low,True,AI,"MVP,Early Traction,Growth",Turkey,Revenue,I24
10k-100k,I240,Medium,True,FinTech,"Idea,MVP,Early Traction",USA,Users,I240
2M-10M,I241,High,True,LogisticsTech,"MVP,Early Traction",USA,None,I241
50k-200k,I242,Low,True,AI,"Growth,Scaling",Nigeria,Revenue,I242
100k-500k,I243,Low,True,SaaS,"Growth,Scaling",Turkey,Revenue,I243
500k-2M,I244,Medium,True,SaaS,"Growth,Scaling",Saudi Arabia,Users,I244
10k-100k,I245,Low,True,EdTech,Early Traction,Bangladesh,Revenue,I245
500k-2M,I246,High,True,SaaS,Early Traction,Nigeria,None,I246
50k-200k,I247,Low,True,LogisticsTech,Scaling,Nigeria,Revenue,I247
2M-10M,I248,High,True,AI,Idea,Bangladesh,None,I248
50k-200k,I249,Low,True,LogisticsTech,"Early Traction,Growth",Turkey,Revenue,I249
100k-500k,I25,High,True,E-commerce,"MVP,Early Traction",India,None,I25
500k-2M,I250,High,True,SaaS,"MVP,Early Traction,Growth",Turkey,None,I250
500k-2M,I251,High,True,LogisticsTech,"Growth,Scaling",Bangladesh,None,I251
500k-2M,I252,Medium,True,HealthTech,Idea,USA,Users,I252
50k-200k,I253,High,True,E-commerce,Scaling,Bangladesh,None,I253
2M-10M,I254,High,True,HealthTech,Scaling,USA,None,I254
50k-200k,I255,High,True,FinTech,"Idea,MVP,Early Traction",Saudi Arabia,None,I255
50k-200k,I256,High,True,EdTech,Scaling,UAE,None,I256
10k-100k,I257,High,True,EdTech,Idea,USA,None,I257
2M-10M,I258,High,True,PropTech,Scaling,Bangladesh,None,I258
500k-2M,I259,High,True,HealthTech,"MVP,Early Traction",Pakistan,None,I259
2M-10M,I26,Low,True,FinTech,"Idea,MVP",Pakistan,Revenue,I26
500k-2M,I260,Low,True,AI,"Idea,MVP",UAE,Revenue,I260
100k-500k,I261,Medium,True,FinTech,"Idea,MVP,Early Traction",UAE,Users,I261
10k-100k,I262,Low,True,E-commerce,Scaling,UK,Revenue,I262
100k-500k,I263,Low,True,AI,Early Traction,Nigeria,Revenue,I263
50k-200k,I264,Medium,True,LogisticsTech,"Growth,Scaling",Egypt,Users,I264
100k-500k,I265,Medium,True,LogisticsTech,"Growth,Scaling",Pakistan,Users,I265
100k-500k,I266,Low,True,CleanTech,"Idea,MVP",Egypt,Revenue,I266
50k-200k,I267,Medium,True,HealthTech,"Growth,Scaling",Turkey,Users,I267
2M-10M,I268,High,True,EdTech,Early Traction,Egypt,None,I268
50k-200k,I269,Medium,True,FinTech,"Early Traction,Growth",UK,Users,I269
10k-100k,I27,Medium,True,FinTech,"Growth,Scaling",Nigeria,Users,I27
50k-200k,I270,High,True,SaaS,Scaling,UAE,None,I270
500k-2M,I271,Medium,True,SaaS,"Idea,MVP,Early Traction",Pakistan,Users,I271
100k-500k,I272,Low,True,LogisticsTech,Early Traction,UAE,Revenue,I272
10k-100k,I273,Medium,True,HealthTech,"Early Traction,Growth",USA,Users,I273
50k-200k,I274,High,True,AI,"Idea,MVP",USA,None,I274
100k-500k,I275,High,True,PropTech,Scaling,Nigeria,None,I275
10k-100k,I276,High,True,EdTech,"Growth,Scaling",USA,None,I276
2M-10M,I277,High,True,E-commerce,"Early Traction,Growth",India,None,I277
2M-10M,I278,Medium,True,CleanTech,"MVP,Early Traction",Egypt,Users,I278
50k-200k,I279,High,True,EdTech,"MVP,Early Traction,Growth",Saudi Arabia,None,I279
50k-200k,I28,High,True,E-commerce,"Growth,Scaling",Pakistan,None,I28
100k-500k,I280,Low,True,EdTech,Early Traction,UK,Revenue,I280
500k-2M,I281,High,True,LogisticsTech,"Idea,MVP",Egypt,None,I281
100k-500k,I282,Low,True,SaaS,Early Traction,Nigeria,Revenue,I282
50k-200k,I283,High,True,PropTech,"MVP,Early Traction,Growth",Pakistan,None,I283
10k-100k,I284,Medium,True,CleanTech,Scaling,Bangladesh,Users,I284
10k-100k,I285,Medium,True,HealthTech,Scaling,Egypt,Users,I285
500k-2M,I286,Low,True,LogisticsTech,"Idea,MVP,Early Traction",Nigeria,Revenue,I286
100k-500k,I287,Low,True,FinTech,"MVP,Early Traction",Egypt,Revenue,I287
2M-10M,I288,Low,True,E-commerce,"MVP,Early Traction",Egypt,Revenue,I288
50k-200k,I289,Low,True,FinTech,"Growth,Scaling",Bangladesh,Revenue,I289
100k-500k,I29,Medium,True,FinTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I29
500k-2M,I290,High,True,LogisticsTech,"Early Traction,Growth",India,None,I290
500k-2M,I291,Low,True,AI,"MVP,Early Traction",USA,Revenue,I291
10k-100k,I292,Medium,True,SaaS,Scaling,UAE,Users,I292
2M-10M,I293,Medium,True,SaaS,"Growth,Scaling",Saudi Arabia,Users,I293
500k-2M,I294,Medium,True,CleanTech,"MVP,Early Traction,Growth",Bangladesh,Users,I294
500k-2M,I295,High,True,AI,"Idea,MVP",India,None,I295
10k-100k,I296,Low,True,PropTech,"MVP,Early Traction",Turkey,Revenue,I296
2M-10M,I297,Medium,True,EdTech,"Idea,MVP,Early Traction",India,Users,I297
10k-100k,I298,Medium,True,PropTech,"Growth,Scaling",UK,Users,I298
10k-100k,I299,Low,True,CleanTech,Scaling,Nigeria,Revenue,I299
2M-10M,I3,High,True,FinTech,"Growth,Scaling",Turkey,None,I3
10k-100k,I30,Medium,True,HealthTech,"MVP,Early Traction",Turkey,Users,I30
50k-200k,I300,High,True,FinTech,"Idea,MVP,Early Traction",Bangladesh,None,I300
100k-500k,I301,Low,True,E-commerce,Scaling,USA,Revenue,I301
50k-200k,I302,Low,True,LogisticsTech,"Idea,MVP",India,Revenue,I302
2M-10M,I303,High,True,PropTech,Scaling,Bangladesh,None,I303
100k-500k,I304,High,True,SaaS,"MVP,Early Traction,Growth",Saudi Arabia,None,I304
500k-2M,I305,Low,True,FinTech,"Early Traction,Growth",Egypt,Revenue,I305
50k-200k,I306,Medium,True,E-commerce,"Growth,Scaling",Turkey,Users,I306
50k-200k,I307,Low,True,SaaS,Scaling,Turkey,Revenue,I307
2M-10M,I308,Medium,True,AgriTech,"MVP,Early Traction",India,Users,I308
10k-100k,I309,High,True,HealthTech,Early Traction,Saudi Arabia,None,I309
10k-100k,I31,Low,True,LogisticsTech,Scaling,UAE,Revenue,I31
100k-500k,I310,Low,True,AgriTech,"Growth,Scaling",USA,Revenue,I310
100k-500k,I311,Low,True,SaaS,"Growth,Scaling",Turkey,Revenue,I311
500k-2M,I312,Medium,True,EdTech,Early Traction,Nigeria,Users,I312
2M-10M,I313,High,True,HealthTech,Early Traction,UAE,None,I313
100k-500k,I314,Low,True,EdTech,"Idea,MVP",Bangladesh,Revenue,I314
50k-200k,I315,High,True,EdTech,"Growth,Scaling",Saudi Arabia,None,I315
100k-500k,I316,High,True,HealthTech,"MVP,Early Traction,Growth",UAE,None,I316
500k-2M,I317,Medium,True,AgriTech,"Idea,MVP,Early Traction",Nigeria,Users,I317
2M-10M,I318,Low,True,AgriTech,Early Traction,India,Revenue,I318
100k-500k,I319,High,True,SaaS,"Growth,Scaling",UAE,None,I319
500k-2M,I32,Medium,True,AI,"Idea,MVP,Early Traction",India,Users,I32
10k-100k,I320,Low,True,HealthTech,Scaling,India,Revenue,I320
2M-10M,I321,Medium,True,AI,Early Traction,Turkey,Users,I321
10k-100k,I322,Medium,True,FinTech,Scaling,Egypt,Users,I322
500k-2M,I323,Medium,True,LogisticsTech,"Growth,Scaling",UAE,Users,I323
2M-10M,I324,Low,True,FinTech,Idea,UK,Revenue,I324
2M-10M,I325,Medium,True,LogisticsTech,"MVP,Early Traction,Growth",India,Users,I325
10k-100k,I326,High,True,LogisticsTech,"Early Traction,Growth",Saudi Arabia,None,I326
50k-200k,I327,Low,True,LogisticsTech,"Early Traction,Growth",Nigeria,Revenue,I327
2M-10M,I328,High,True,PropTech,Idea,UAE,None,I328
10k-100k,I329,Medium,True,EdTech,"Growth,Scaling",Saudi Arabia,Users,I329
100k-500k,I33,High,True,HealthTech,Idea,India,None,I33
100k-500k,I330,Low,True,SaaS,"Idea,MVP",USA,Revenue,I330
2M-10M,I331,Medium,True,FinTech,Idea,USA,Users,I331
10k-100k,I332,High,True,AgriTech,"MVP,Early Traction,Growth",Pakistan,None,I332
2M-10M,I333,High,True,SaaS,"Idea,MVP,Early Traction",UK,None,I333
2M-10M,I334,Low,True,PropTech,"Growth,Scaling",Turkey,Revenue,I334
100k-500k,I335,High,True,CleanTech,"MVP,Early Traction",Turkey,None,I335
100k-500k,I336,Low,True,LogisticsTech,Scaling,Bangladesh,Revenue,I336
100k-500k,I337,Medium,True,CleanTech,Idea,USA,Users,I337
10k-100k,I338,Low,True,PropTech,Idea,Egypt,Revenue,I338
50k-200k,I339,High,True,E-commerce,"Idea,MVP,Early Traction",India,None,I339
100k-500k,I34,Medium,True,AI,Early Traction,Saudi Arabia,Users,I34
50k-200k,I340,Low,True,FinTech,"MVP,Early Traction,Growth",UAE,Revenue,I340
10k-100k,I341,Medium,True,PropTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I341
500k-2M,I342,Medium,True,SaaS,"Growth,Scaling",Nigeria,Users,I342
50k-200k,I343,Low,True,PropTech,"Growth,Scaling",Bangladesh,Revenue,I343
50k-200k,I344,High,True,AI,"Early Traction,Growth",Turkey,None,I344
2M-10M,I345,High,True,E-commerce,"Early Traction,Growth",Pakistan,None,I345
50k-200k,I346,Low,True,AI,Scaling,UK,Revenue,I346
2M-10M,I347,High,True,CleanTech,"Idea,MVP",Turkey,None,I347
10k-100k,I348,Medium,True,HealthTech,Early Traction,Saudi Arabia,Users,I348
500k-2M,I349,Low,True,AgriTech,"Growth,Scaling",UAE,Revenue,I349
2M-10M,I35,Medium,True,HealthTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I35
50k-200k,I350,Low,True,PropTech,Early Traction,Turkey,Revenue,I350
100k-500k,I351,High,True,LogisticsTech,"MVP,Early Traction,Growth",UAE,None,I351
2M-10M,I352,Low,True,AgriTech,"Growth,Scaling",Turkey,Revenue,I352
500k-2M,I353,Low,True,CleanTech,"Idea,MVP",UAE,Revenue,I353
2M-10M,I354,High,True,FinTech,"Growth,Scaling",Egypt,None,I354
2M-10M,I355,Low,True,E-commerce,Idea,India,Revenue,I355
2M-10M,I356,High,True,PropTech,Scaling,Pakistan,None,I356
10k-100k,I357,High,True,SaaS,"Early Traction,Growth",Nigeria,None,I357
2M-10M,I358,High,True,PropTech,"Growth,Scaling",Pakistan,None,I358
500k-2M,I359,Low,True,LogisticsTech,Scaling,USA,Revenue,I359
500k-2M,I36,High,True,PropTech,Scaling,Saudi Arabia,None,I36
50k-200k,I360,Medium,True,CleanTech,"MVP,Early Traction,Growth",Nigeria,Users,I360
2M-10M,I361,Medium,True,PropTech,"Early Traction,Growth",India,Users,I361
500k-2M,I362,Low,True,HealthTech,"Idea,MVP,Early Traction",Saudi Arabia,Revenue,I362
2M-10M,I363,Medium,True,PropTech,"Growth,Scaling",Bangladesh,Users,I363
10k-100k,I364,High,True,AI,"MVP,Early Traction",Turkey,None,I364
10k-100k,I365,High,True,LogisticsTech,"Growth,Scaling",Bangladesh,None,I365
500k-2M,I366,Low,True,EdTech,"Early Traction,Growth",USA,Revenue,I366
2M-10M,I367,Medium,True,CleanTech,Scaling,UK,Users,I367
2M-10M,I368,High,True,CleanTech,"Idea,MVP,Early Traction",USA,None,I368
50k-200k,I369,High,True,CleanTech,Scaling,Bangladesh,None,I369
50k-200k,I37,Medium,True,FinTech,"Idea,MVP",Pakistan,Users,I37
50k-200k,I370,High,True,AgriTech,Scaling,USA,None,I370
100k-500k,I371,High,True,AgriTech,"MVP,Early Traction,Growth",UK,None,I371
50k-200k,I372,High,True,CleanTech,"Growth,Scaling",India,None,I372
50k-200k,I373,Low,True,AgriTech,Scaling,India,Revenue,I373
100k-500k,I374,High,True,CleanTech,"Idea,MVP",Egypt,None,I374
500k-2M,I375,Low,True,E-commerce,"Early Traction,Growth",Pakistan,Revenue,I375
2M-10M,I376,Low,True,AgriTech,"MVP,Early Traction",Bangladesh,Revenue,I376
50k-200k,I377,Low,True,HealthTech,Early Traction,USA,Revenue,I377
500k-2M,I378,High,True,AI,Scaling,Bangladesh,None,I378
2M-10M,I379,Low,True,HealthTech,Idea,Pakistan,Revenue,I379
2M-10M,I38,High,True,FinTech,"Idea,MVP",USA,None,I38
10k-100k,I380,High,True,AgriTech,Scaling,Saudi Arabia,None,I380
50k-200k,I381,High,True,HealthTech,Scaling,Pakistan,None,I381
50k-200k,I382,Low,True,LogisticsTech,"Idea,MVP",Turkey,Revenue,I382
50k-200k,I383,Low,True,EdTech,"MVP,Early Traction",Pakistan,Revenue,I383
500k-2M,I384,High,True,HealthTech,"Growth,Scaling",USA,None,I384
2M-10M,I385,High,True,CleanTech,"Idea,MVP",Saudi Arabia,None,I385
10k-100k,I386,Medium,True,SaaS,Scaling,Egypt,Users,I386
100k-500k,I387,Medium,True,PropTech,"Growth,Scaling",USA,Users,I387
50k-200k,I388,Medium,True,PropTech,Early Traction,Nigeria,Users,I388
100k-500k,I389,Medium,True,AI,Scaling,UAE,Users,I389
10k-100k,I39,High,True,EdTech,"Idea,MVP,Early Traction",Bangladesh,None,I39
2M-10M,I390,High,True,SaaS,"Idea,MVP,Early Traction",India,None,I390
10k-100k,I391,Medium,True,EdTech,Scaling,Egypt,Users,I391
100k-500k,I392,Medium,True,PropTech,Early Traction,Nigeria,Users,I392
50k-200k,I393,Medium,True,AgriTech,Idea,USA,Users,I393
10k-100k,I394,Low,True,PropTech,"Idea,MVP,Early Traction",Nigeria,Revenue,I394
500k-2M,I395,High,True,SaaS,"Growth,Scaling",Saudi Arabia,None,I395
500k-2M,I396,High,True,EdTech,Scaling,USA,None,I396
100k-500k,I397,Medium,True,AI,"MVP,Early Traction",Saudi Arabia,Users,I397
100k-500k,I398,High,True,CleanTech,"Early Traction,Growth",India,None,I398
100k-500k,I399,Low,True,AgriTech,Early Traction,USA,Revenue,I399
100k-500k,I4,Low,True,CleanTech,Idea,Pakistan,Revenue,I4
50k-200k,I40,Low,True,SaaS,"Growth,Scaling",Egypt,Revenue,I40
50k-200k,I400,Medium,True,HealthTech,"Growth,Scaling",Saudi Arabia,Users,I400
50k-200k,I401,Low,True,FinTech,"Growth,Scaling",UK,Revenue,I401
50k-200k,I402,Medium,True,FinTech,"Early Traction,Growth",Turkey,Users,I402
10k-100k,I403,High,True,SaaS,Idea,India,None,I403
10k-100k,I404,Low,True,PropTech,Idea,Egypt,Revenue,I404
2M-10M,I405,Medium,True,EdTech,Early Traction,USA,Users,I405
500k-2M,I406,High,True,HealthTech,"Idea,MVP,Early Traction",UAE,None,I406
50k-200k,I407,Low,True,CleanTech,"Idea,MVP",Turkey,Revenue,I407
500k-2M,I408,High,True,LogisticsTech,"Idea,MVP",Nigeria,None,I408
100k-500k,I409,High,True,LogisticsTech,"Early Traction,Growth",Bangladesh,None,I409
10k-100k,I41,High,True,AgriTech,"Idea,MVP,Early Traction",UAE,None,I41
10k-100k,I410,Medium,True,AgriTech,"MVP,Early Traction,Growth",Egypt,Users,I410
